TWEET,Geo,latitude,logitude,id,created_at,retweet_count,coordinates
"#TransformationTuesday Apologies for the gnarly selfie, but the past few months have been pretty intense. On January 15th on the way work, I was involved in a road traffic accident where a lorry crashed into the car… https://t.co/3geyBVTzmv","{'coordinates': [50.93307927, -1.43419645], 'type': 'Point'}",50.93307927,-1.43419645,1.24506E+18,Tue Mar 31 18:41:43 +0000 2020,0,"{'coordinates': [-1.43419645, 50.93307927], 'type': 'Point'}"
"I Love Osogboland! 🤗
.
.
This is Lamenco - one of the busiest roundabouts in Osogbo and it currently eases vehicular traffic from Ring Road, Ilobu Road and Iwo-Oshogbo Road. 🤪
.
.
Close to Lamenco roundabout is… https://t.co/Hrouuk8pbz","{'coordinates': [7.71372993, 4.4896216], 'type': 'Point'}",7.71372993,4.4896216,1.24503E+18,Tue Mar 31 17:03:50 +0000 2020,0,"{'coordinates': [4.4896216, 7.71372993], 'type': 'Point'}"
"If anyone is interested in making $360 (quarterly $120 ×3) every 12 months send me a direct message👌.
.
We are offering this if you live on a main road that gets alot of traffic. We can install our large yard sign… https://t.co/6mJz6kmfl7","{'coordinates': [49.8873, -97.1397], 'type': 'Point'}",49.8873,-97.1397,1.24499E+18,Tue Mar 31 13:49:54 +0000 2020,0,"{'coordinates': [-97.1397, 49.8873], 'type': 'Point'}"
(U/D) 225895: Stationary Vehicle (Travel Lane)  N1 Southbound after  Olifantsfontein Road is now cleared. Free flowing traffic,"{'coordinates': [-25.95541216, 28.13400335], 'type': 'Point'}",-25.95541216,28.13400335,1.24487E+18,Tue Mar 31 06:23:13 +0000 2020,0,"{'coordinates': [28.13400335, -25.95541216], 'type': 'Point'}"
225895: Stationary Vehicle (Travel Lane)  N1 Southbound after  Olifantsfontein Road. Left lane affected. Free flowing traffic,"{'coordinates': [-25.95541216, 28.13400335], 'type': 'Point'}",-25.95541216,28.13400335,1.24487E+18,Tue Mar 31 06:16:15 +0000 2020,0,"{'coordinates': [28.13400335, -25.95541216], 'type': 'Point'}"
"St Georges Rd , Northcote - Traffic Alert, Left lane closed outbound just after Beavers Road due to… https://t.co/n4Q4vzMrvp #victraffic","{'coordinates': [-37.76591938, 144.99171516], 'type': 'Point'}",-37.76591938,144.9917152,1.24476E+18,Mon Mar 30 22:39:02 +0000 2020,0,"{'coordinates': [144.99171516, -37.76591938], 'type': 'Point'}"
"Glen Eira Rd , Caulfield - Road Closed, Police are directing traffic in both directions between… https://t.co/dmvTfSZSOr #victraffic","{'coordinates': [-37.87959013, 145.01980583], 'type': 'Point'}",-37.87959013,145.0198058,1.2447E+18,Mon Mar 30 18:45:02 +0000 2020,0,"{'coordinates': [145.01980583, -37.87959013], 'type': 'Point'}"
"Clip of the city
#street #road #traffic #perspective #building #city 場所: Yokohama https://t.co/2mMkBqw2Gw","{'coordinates': [35.443535, 139.637256], 'type': 'Point'}",35.443535,139.637256,1.2446E+18,Mon Mar 30 12:13:21 +0000 2020,0,"{'coordinates': [139.637256, 35.443535], 'type': 'Point'}"
"Life’s just like a ride; not always going smooth, sometimes over-bumpy, sometimes gives you amazing view, sometimes annoys you with the traffic. You might control your vehicle, but not the road. Just enjoy it! @… https://t.co/3Pwo0rvHpF","{'coordinates': [51.4966678, -0.17227292], 'type': 'Point'}",51.4966678,-0.17227292,1.24459E+18,Mon Mar 30 11:34:00 +0000 2020,0,"{'coordinates': [-0.17227292, 51.4966678], 'type': 'Point'}"
"🚦 #Tipperary: Road Resurfacing works on Stradavoher between Croke St. , Clongour Rd from 30/03/20 for approx. 5 days. Stop/Go System for duration.TippCoCo #RoadAlert  via @tipperarycoco https://t.co/2WmXizRBNm","{'coordinates': [52.67591105, -7.81594727], 'type': 'Point'}",52.67591105,-7.81594727,1.24455E+18,Mon Mar 30 09:17:46 +0000 2020,0,"{'coordinates': [-7.81594727, 52.67591105], 'type': 'Point'}"
🚦 #Tipperary: Road works will take place on the L8212 Barronstown Roads from 8am-4.30pm 30/03/20 to 10/04/20. Stop/Go System will be in place. TippCo Co #RoadAlert  via @tipperarycoco https://t.co/NZHVgiRvKt,"{'coordinates': [52.49322616, -8.19847561], 'type': 'Point'}",52.49322616,-8.19847561,1.24455E+18,Mon Mar 30 09:12:46 +0000 2020,0,"{'coordinates': [-8.19847561, 52.49322616], 'type': 'Point'}"
"Why did the killdeer cross the road. (Normal Sunday traffic, this maneuver would be deadly.) #covıd19 @ Pacifica, California https://t.co/xCLo8Y8doV","{'coordinates': [37.6337, -122.4897], 'type': 'Point'}",37.6337,-122.4897,1.24441E+18,Sun Mar 29 23:41:20 +0000 2020,0,"{'coordinates': [-122.4897, 37.6337], 'type': 'Point'}"
"94685: Stationary Vehicle on N3 Westbound before Ramp to Umlaas Road. Left lane closed. Drive Carefully. 
https://t.co/F2AoJLOyQB https://t.co/yrzwyFEveV","{'coordinates': [-29.7287294, 30.51224378], 'type': 'Point'}",-29.7287294,30.51224378,1.24424E+18,Sun Mar 29 12:09:45 +0000 2020,0,"{'coordinates': [30.51224378, -29.7287294], 'type': 'Point'}"
"I got so wrapped up in the 9-9 routine, the commute, the laundry, the responsibilities, the road, the traffic, the rush. Each  coming at me with a pointy little needle, coming at me to tie me to the tangible dream.… https://t.co/afRpsShGhN","{'coordinates': [14.52798983, 74.31575521], 'type': 'Point'}",14.52798983,74.31575521,1.24416E+18,Sun Mar 29 07:08:03 +0000 2020,0,"{'coordinates': [74.31575521, 14.52798983], 'type': 'Point'}"
"On our socially distanced safe cheesecakefactory pick up in Columbia Friday night, it was pretty eerie.  No traffic on the road, mall parking lot empty.  Great food, crazy busy for carry out and curbside pick up, but… https://t.co/96O51zjQkR","{'coordinates': [39.21659, -76.85784], 'type': 'Point'}",39.21659,-76.85784,1.24399E+18,Sat Mar 28 20:00:30 +0000 2020,0,"{'coordinates': [-76.85784, 39.21659], 'type': 'Point'}"
(U/D) 225848: Stationary Vehicle (Travel Lane) on N1 Southbound after Old Johannesburg Road is now cleared. Free flowing traffic,"{'coordinates': [-25.91074305, 28.15656222], 'type': 'Point'}",-25.91074305,28.15656222,1.24399E+18,Sat Mar 28 19:58:00 +0000 2020,0,"{'coordinates': [28.15656222, -25.91074305], 'type': 'Point'}"
"Our lodge giraffe called ""notch"" set up a road block on the way home - just fancied a chat I think.

#italktoanimals #giraffe #wildlifewildliving #isolation #traffic #safari bush_and_beyond @lewa_wildlife @ Lewa… https://t.co/lDCYENGRjn","{'coordinates': [0.25312235, 37.38906613], 'type': 'Point'}",0.25312235,37.38906613,1.24397E+18,Sat Mar 28 18:46:27 +0000 2020,0,"{'coordinates': [37.38906613, 0.25312235], 'type': 'Point'}"
"Get outside, but make sure you're observing good judgement with regards to social distancing.
The open road is relatively free of vehicular traffic and groups of congregating people.
.
#soloquarantineride… https://t.co/6uggDuDNQa","{'coordinates': [40.2465, -76.4729], 'type': 'Point'}",40.2465,-76.4729,1.24396E+18,Sat Mar 28 17:40:43 +0000 2020,0,"{'coordinates': [-76.4729, 40.2465], 'type': 'Point'}"
M11 traffic recap after serious crash shut road - Cambridgeshire Live https://t.co/NuOTVO5jYu https://t.co/nPX69NlKfA,"{'coordinates': [52.02573834, 0.24142027], 'type': 'Point'}",52.02573834,0.24142027,1.24395E+18,Sat Mar 28 17:01:33 +0000 2020,0,"{'coordinates': [0.24142027, 52.02573834], 'type': 'Point'}"
Recap A12 Colchester traffic as police shut road after lorry hit bridge - Essex Live https://t.co/CseYeBX3dv,"{'coordinates': [51.88561263, 0.89745373], 'type': 'Point'}",51.88561263,0.89745373,1.24393E+18,Sat Mar 28 15:53:03 +0000 2020,0,"{'coordinates': [0.89745373, 51.88561263], 'type': 'Point'}"
"Lone rider on an empty road.

EDSA on a regular day is prone to a traffic jam but during the lockdown you can rarely see a vehicle pass by as this one travels alone.

#luzonlockdown #lockdown #covid19quarantine… https://t.co/U9Ld9sJ7sl","{'coordinates': [14.55963951, 121.04980987], 'type': 'Point'}",14.55963951,121.0498099,1.24385E+18,Sat Mar 28 10:38:11 +0000 2020,0,"{'coordinates': [121.04980987, 14.55963951], 'type': 'Point'}"
Recap A12 Colchester traffic as police shut road after lorry hit bridge - Essex Live https://t.co/6L9qjhd62A https://t.co/Odgrl7e3KT,"{'coordinates': [51.88561263, 0.89745373], 'type': 'Point'}",51.88561263,0.89745373,1.24383E+18,Sat Mar 28 09:31:03 +0000 2020,0,"{'coordinates': [0.89745373, 51.88561263], 'type': 'Point'}"
We can all now enjoy a better #dawnchorus &amp; more #birdsong with far less traffic on the road. Here’s a wonderful #woodengraving by #joanhassall in the beautifully designed edition of #thesaturdaybook from 1955 with… https://t.co/IGYFjUqVmA,"{'coordinates': [53.7998, -1.5491], 'type': 'Point'}",53.7998,-1.5491,1.24382E+18,Sat Mar 28 08:55:13 +0000 2020,0,"{'coordinates': [-1.5491, 53.7998], 'type': 'Point'}"
225832: U/D Stationary Vehicle (Travel Lane) on R24 Eastbound at  Barbara Road. Is now clear. Free flowing traffic.,"{'coordinates': [-26.13629679, 28.19743928], 'type': 'Point'}",-26.13629679,28.19743928,1.24378E+18,Sat Mar 28 06:18:02 +0000 2020,0,"{'coordinates': [28.19743928, -26.13629679], 'type': 'Point'}"
